stolica woj..;województwo;miasta_n_p_pow;XA02;XA03;XA04;XA05;XA06;XA17;XA19
0;Warmińsko-Mazurskie;County;23361,00;5628,00;8478,00;9255,00;17,50;175,00;23748,00
0;Warmińsko-Mazurskie;County;9721,00;2816,00;2242,00;4663,00;26,80;36,50;11007,00
0;Warmińsko-Mazurskie;County;23487,00;4579,00;8861,00;10047,00;16,40;351,00;20230,00
0;Warmińsko-Mazurskie;County;15678,00;4785,00;5002,00;5891,00;17,30;294,50;13429,00
0;Dolnośląskie;City;22923,00;355,00;7365,00;15203,00;5,70;386,20;11613,00
0;Zachodniopomorskie;County;13373,00;2403,00;4854,00;6116,00;12,10;114,90;12113,00
0;Zachodniopomorskie;County;21304,00;4345,00;8764,00;8195,00;9,00;425,80;15679,00
0;Zachodniopomorskie;City;8355,00;173,00;1717,00;6465,00;7,00;753,80;5856,00
0;Dolnośląskie;County;17965,00;2351,00;7571,00;8043,00;11,90;182,30;16087,00
0;Dolnośląskie;County;20016,00;2090,00;6979,00;10947,00;12,50;1653,10;16580,00
0;Zachodniopomorskie;County;6387,00;1523,00;2374,00;2490,00;23,90;389,90;6914,00
0;Pomorskie;County;71337,00;683,00;15466,00;55188,00;4,90;1171,80;39720,00
0;Zachodniopomorskie;County;33088,00;240,00;10494,00;22354,00;8,40;440,50;16995,00
0;Dolnośląskie;County;21294,00;1957,00;8259,00;11078,00;9,00;1223,20;14940,00
0;Śląskie;City;13292,00;238,00;6157,00;6897,00;11,80;165,90;10889,00
0;Śląskie;City;7632,00;44,00;2694,00;4894,00;12,10;60,00;8533,00
0;Śląskie;City;48084,00;249,00;24860,00;22975,00;3,80;1543,90;21626,00
0;Śląskie;City;38775,00;206,00;13264,00;25305,00;10,50;704,90;27533,00
0;Śląskie;City;12467,00;733,00;4839,00;6895,00;8,40;136,20;11878,00
0;Śląskie;County;38918,00;7775,00;17062,00;14081,00;7,20;395,90;31008,00
0;Śląskie;County;31021,00;3550,00;10133,00;17338,00;13,10;517,80;23748,00
0;Śląskie;County;47382,00;10035,00;15141,00;22206,00;7,40;469,40;33498,00
0;Śląskie;City;34020,00;221,00;17605,00;16194,00;6,80;375,00;24487,00
0;Warmińsko-Mazurskie;County;6277,00;2183,00;1918,00;2176,00;19,10;58,80;5363,00
0;Warmińsko-Mazurskie;County;4359,00;1780,00;389,00;2190,00;24,60;22,00;4002,00
